ID,FREQ,LENGTH,INCLANES,DECLANES,WIDTH,MIMEDSH,MXMEDSH,SPEED,URB,FC,AADT,SINGLE,DOUBLE,TRAIN,PEAKHR,GRADEBR,MIGRADE,MXGRADE,MXGRDIFF,TANGENT,CURVES,MINRAD,ACCESS,MEDWIDTH,FRICTION,ADTLANE,SLOPE,INTECHAG,AVEPRE,AVESNOW,LOWPRE,GBRPM,EXPOSE,INTPM,CPM,HISNOW
1,1,0.64,2,2,48,4,4,55,0,1,3347,10,5.3,1.1,10.1,2,-1.8,-2.9,0.7,0.39,2,1400,1,4,53.5,837,2,0,9.94,54.33,0,1.898734177,1.881852838,0.632911392,1.265822785,0
2,4,1.44,2,2,46,0,4,55,0,1,3347,10,5.3,1.1,10.1,2,-1.46,-2.5,0.74,0.22,4,1433,1,5,54,837,2,0,9.94,54.33,0,1.693548387,3.02187442,0.322580645,0.725806452,1
3,2,1.07,2,2,48,0,0,55,0,1,12598,5,6,1,8.73,2,-1.85,3.15,6.16,0.54,1,5730,1,1,52.5,3150,0,0,2.39,6.35,0,0.531914894,1.041219294,1.063829787,0.531914894,1
4,1,1.1,2,2,48,0,0,55,0,1,12598,5,6,1,8.73,2,0.05,-3.14,3.19,1.34,2,5730,1,1,52.3,3150,0,0,2.39,6.35,0,9.433962264,0.114750671,1.886792453,0.943396226,0
5,0,0.71,2,2,48,0,0,55,0,1,13946,5,6,1,8.87,0,-0.26,-0.5,0.17,0.16,2,1637,1,1,52.3,3487,0,0,0.92,1.25,0,0.666666667,0.944749575,1.333333333,1.333333333,1
6,36,5.69,2,2,48,4,4,55,0,1,13629,3.6,2.3,0.6,9,7,-0.2,-3.45,4.61,1.93,6,3200,1,4,46.2,3407,0,0,1.63,4.16,0,1.739130435,0.63227782,0.869565217,1.739130435,1
7,4,1.3,2,2,62,4,4,55,0,1,11699,3.6,2.3,0.6,9.48,4,0.38,4.05,3.67,0.22,2,7640,1,4,46,2925,0,0,2.43,6.78,0,1.675977654,0.94108534,0,1.117318436,0
8,2,1.37,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,3,0.5,-1.8,3.57,0.5,4,2200,1,5,54.5,2029,0,0,2.43,6.78,0,1.333333333,0.873552675,0.666666667,0.666666667,0
9,12,2.41,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,5,0.5,4.78,5.93,0.09,8,1800,1,2,55.8,2029,0,0,2.43,6.78,0,1.117318436,1.925500852,0.558659218,1.117318436,1
10,2,1.63,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,3,-0.52,-2.74,2.22,0.16,4,1800,1,2,56,2029,0,0,2.43,6.78,0,3.041825095,0.848423009,0.380228137,1.520912548,1
11,14,2.22,2,2,48,4,4,55,0,1,37106,4.1,3.7,1.1,9.6,3,-0.52,-1.82,2.98,0.77,3,1920,2,3,53.8,9277,2,2,5.22,1.09,0,1.98019802,0.482533358,0.99009901,0.99009901,0
12,1,0.87,2,2,48,4,4,55,0,1,39453,4.1,3.7,1.1,8.82,3,1,-2.72,4.24,0.5,2,2000,2,5,53,9863,2,1,5.22,1.09,1,1.450777202,0.83998618,0.155440415,0.466321244,1
13,20,1.16,2,2,48,4,4,55,0,1,29370,4.1,3.7,1.1,10.5,2,0.22,-4.51,5.3,0.07,1,1800,2,2,51.5,7343,0,2,5.22,1.09,0,1.707317073,0.9676369,0.365853659,0.853658537,1
14,14,2.11,3,3,72,4,4,55,0,1,31194,4.1,3.7,1.1,9.8,5,0.22,2.92,2.29,0.32,3,4000,2,3,51.3,5199,1,2,5.22,1.09,0,1.360544218,0.621780968,0.680272109,1.360544218,1
15,26,1.7,2,2,48,6,6,55,1,5,34738,3.39,7.33,2.42,10.8,3,0.37,3.54,3.04,0.17,0,0,2,3,47.8,8685,0,2,3.18,0.67,0,1.530612245,0.571232592,0.510204082,1.530612245,0
16,11,1.52,3,3,72,6,6,65,1,5,51784,3.39,7.33,2.42,10.8,3,1,-2.43,4.07,2.14,0,0,2,3,45.5,8631,0,1,3.18,0.67,0,1.034482759,0.25245225,0.517241379,1.034482759,1
17,25,3.24,3,3,72,6,6,65,0,5,48307,4.7,12.1,4.2,10.8,9,0.16,1.7,3,4.91,1,11460,2,5,47.2,8051,0,1,3.18,0.67,0,1.474201474,1.147676508,0.491400491,0.491400491,0
18,10,0.85,3,3,72,6,6,65,0,5,46886,4.7,12.1,4.2,10.8,1,0.51,-2.82,3.33,3.33,0,0,2,5,45,7814,1,1,3.18,0.67,0,1.322751323,0.878151456,0.264550265,0.529100529,1
19,12,1.17,3,3,72,6,6,65,0,5,46307,4.7,12.1,4.2,10.8,3,0.35,-1.73,2.37,0.18,2,2083,2,3,45,7718,0,0,6.14,0,0,0.301204819,0.610274598,0.903614458,0.301204819,0
20,2,0.7,3,3,84,6,6,65,0,5,46307,4.7,12.1,4.2,10.8,2,-0.01,-1.04,1.03,0.4,0,0,2,3,45,7718,0,0,6.14,0,0,2.074688797,0.74330425,0,0.20746888,0
21,11,1.3,3,3,72,6,6,65,0,5,43706,6.8,12.8,4.1,10.8,2,0.5,-1.92,2.42,0.34,1,5730,2,5,48.5,7284,1,1,6.14,0,0,1.333333333,0.3943095,0,0,0
22,6,0.53,3,3,72,6,6,65,0,5,43706,6.8,12.8,4.1,10.8,2,0.35,-0.96,1.31,1.39,1,22918,2,5,49.5,7284,2,1,6.14,0,0,1.435406699,1.081522959,0.4784689,1.196172249,0
23,1,0.52,3,3,72,6,6,65,0,5,45088,6.8,12.8,4.1,10.8,3,0.31,-1.58,1.15,1.16,1,3820,2,5,49.5,7515,0,1,6.14,0,0,1.25,0.42393436,1.25,1.25,0
24,6,1.05,3,3,72,6,6,65,0,5,45088,6.8,12.8,4.1,10.8,1,0,-3,3,0.12,2,2865,2,3,49.5,7515,0,0,6.14,0,1,1.856148492,0.363492039,0.464037123,1.856148492,0
25,2,0.91,3,3,72,6,6,65,0,5,45088,6.8,12.8,4.1,10.8,1,0,-0.54,0.54,0.28,2,5730,2,5,51.5,7515,1,0,6.14,0,0,3.349282297,0.203673322,1.435406699,2.392344498,1
26,16,1.17,3,3,88,6,6,65,0,5,48673,6.8,12.8,4.1,10.8,1,0,-0.54,0.54,0.15,0,0,2,4,50.5,8112,0,1,6.14,0,1,1.318681319,0.714355005,0.43956044,1.098901099,0
27,0,2.72,3,3,72,6,6,65,0,5,40503,4.2,14.6,3.4,10.8,6,0,-1.04,1.97,1.38,5,4000,2,2,48.5,6751,0,0,4.66,0.88,0,2.027027027,0.553099976,0.337837838,0.675675676,0
28,0,0.61,3,3,72,6,6,65,1,5,40503,4.2,14.6,3.4,10.8,1,0,0.5,0.83,0.11,2,11459,2,2,48.5,6751,0,1,4.66,0.88,1,0.869565217,0.799749675,0.173913043,1.217391304,0
29,4,0.91,3,3,72,5,5,65,1,5,40503,4.2,14.6,3.4,10.8,2,0.3,-1.09,1.59,0.28,2,2000,2,3,48.5,6751,0,1,4.66,0.88,0,3.260869565,0.176251346,1.086956522,2.173913043,1
30,5,0.57,3,3,88,6,6,65,1,5,33651,8,17,7,12.3,2,0.01,0.89,1.76,0.07,1,2076,2,3,50.5,5609,0,0,4.66,0.88,1,1.931330472,0.601693375,0.643776824,1.502145923,0
31,14,1.66,4,3,84,5,6,65,1,5,38934,7,15.6,5.5,12.3,5,-0.88,3.5,6.4,0.44,3,2700,2,5,53,5562,2,1,4.66,0.88,0,0.787401575,0.221702059,1.57480315,1.57480315,0
32,22,2.75,3,3,88,6,10,65,1,5,41548,5,13.7,4.7,12.3,5,0.6,-2.9,3.5,0.15,3,5600,2,5,46.8,6925,0,1,4.66,0.88,0,1.230228471,0.283053887,0,1.054481547,1
33,12,2.31,3,3,72,6,10,65,0,5,37617,5,13.7,4.7,12.3,5,0.52,-4.5,7.4,0.5,3,3400,2,5,45,6270,2,2,4.66,0.88,0,2.158273381,0.336099081,0.71942446,0,0
34,14,3.06,3,3,88,6,10,65,0,5,45929,4.2,11.7,3.4,12.3,6,-0.5,-3.16,6.08,0.29,4,10000,2,5,45.4,7655,0,2,4.66,0.88,0,0.279329609,0.32706701,0,1.117318436,0
35,16,2.3,2,2,48,3,4,65,1,5,46361,5.55,11.82,4.07,10.9,0,0,0.53,0.23,0.19,0,0,2,2,44.3,11590,0,0,5.1,0,0,1.272264631,0.304648491,0,1.272264631,1
36,18,2.41,2,2,48,4,4,65,1,5,46361,5.55,11.82,4.07,10.9,2,-0.12,0.42,0.92,0.13,0,0,2,2,49,11590,0,1,5.1,0,1,1.06870229,0.55188073,0.076335878,0.763358779,1
37,48,4.82,2,2,48,4,4,65,1,5,42250,4.95,12.83,4.26,10.9,10,-0.03,-3,5.79,2.75,1,5730,2,2,50.5,10563,0,0,5.1,0,0,1.639344262,0.642449896,0.468384075,0.93676815,0
38,17,5.78,2,2,48,0,4,65,1,5,45658,4.19,11.66,3.82,10.9,6,0,-3,5.79,2.62,3,5730,2,2,48.6,11415,0,2,5.28,2.63,0,1.485148515,0.361594039,0.495049505,1.485148515,0
39,26,2.81,3,3,72,6,6,55,0,5,81624,3.58,7.84,2,9.7,6,0.23,3,2.44,0.96,3,2300,2,5,42.8,13604,1,1,5.28,2.63,1,0.860832138,0.880292181,0.286944046,1.147776184,0
40,10,1.33,3,3,72,6,6,55,0,5,73368,3.4,6.85,1.65,9.7,2,0.23,-3,4.7,0.42,2,4500,2,2,41.5,12228,0,1,5.28,2.63,0,4.807692308,0.698737312,0.240384615,0.721153846,1
41,9,0.67,3,3,72,6,6,55,1,5,82113,3.35,6.87,1.65,9.7,0,2.77,3.01,0.24,0.43,2,2900,2,5,43.5,13686,0,1,5.28,2.63,0,0,0.332985485,1.886792453,1.886792453,0
42,140,3.16,4,4,96,10,10,55,0,5,163157,3.3,4.6,0.7,8.6,6,0,-3.29,2.34,0.1,4,2084,2,3,53,20395,0,2,3.91,0,0,1.655629139,0.309261288,0.331125828,1.324503311,0
43,11,0.6,4,4,96,10,10,55,1,5,144040,3.3,4.6,0.7,8.6,0,3.02,3.02,0,0,2,7640,2,5,42.5,18005,1,0,4.03,0,0,5.063291139,0.164353733,1.265822785,1.265822785,1
44,80,1.79,4,4,96,10,10,55,1,5,144040,3.3,4.6,0.7,8.6,3,-0.6,3.02,3.2,0.59,2,7640,2,5,44.8,18005,2,0,4.03,0,1,1.047120419,0.546677144,0.065445026,1.897905759,0
45,48,0.75,4,4,96,10,10,55,1,5,144040,3.3,4.6,0.7,8.6,1,-0.6,1.4,2,0.77,0,0,2,5,44.8,18005,2,0,4.03,0,0,0.81300813,0.235927715,0.81300813,2.43902439,0
46,65,1.01,4,4,96,10,10,55,1,5,130892,3.7,3.8,1.2,8.5,2,1.07,-1.8,2.87,1.45,1,11460,2,5,42.5,16362,1,1,4.03,0,1,1.203369434,0.450938411,0.240673887,0.962695548,0
47,25,0.99,4,4,96,10,10,55,1,5,145183,2.8,3.8,0.7,8.5,1,-1.5,1.8,3.3,0.24,1,5730,2,5,41,18148,0,0,4.32,0.06,0,1.740812379,0.312287905,0,2.127659574,0
48,47,0.8,4,4,121,3,10,55,1,5,145183,2.8,3.8,0.7,8.5,1,1.09,-3,4.09,0.68,1,5730,2,5,41,18148,2,1,4.32,0.06,0,2.688172043,0.206025783,1.075268817,2.150537634,1
49,69,1.5,4,4,96,3,10,55,1,5,159553,2.8,3.8,0.7,8.5,2,0.48,3,5.7,1.09,1,11460,2,5,41.5,19944,2,1,4.32,0.06,0,4.054054054,0.153951598,2.702702703,2.702702703,1
50,97,1.5,4,4,96,3,10,55,1,5,172557,2.4,3.3,0.6,8.5,1,-0.44,-3.99,3.51,0.28,2,5730,2,5,40.5,21570,3,2,3.73,1.13,0,1.538461538,0.248728155,0.512820513,1.538461538,1
51,29,0.53,3,3,72,0,10,55,1,5,172130,2.5,1.9,0.3,7.9,0,-0.96,-1.17,0.21,0.41,1,11459,2,1,42,28688,0,1,3.21,0.55,1,1.238556812,0.633408773,0,0.538502962,0
52,81,1.15,3,3,72,7,15,55,1,5,150632,2.1,2.4,0.4,7.9,2,-0.55,-2.76,2.35,0.51,2,2865,2,5,50.5,25105,3,1,3.37,1.12,0,1.530612245,0.32768897,1.020408163,1.530612245,0
53,133,1.88,3,3,72,7,10,55,1,5,151737,2.1,2.4,0.4,7.9,1,-0.5,2.2,2.95,1.59,1,2865,2,5,50.5,25290,2,2,3.37,1.12,0,1.764705882,0.21554929,1.176470588,0,0
54,69,3.58,3,3,72,7,10,55,1,5,147356,3.5,3.5,0.7,8.6,4,-0.5,-2.58,2.08,0.92,4,2456,2,5,44.8,24559,1,2,3.37,1.12,0,2.135231317,0.837176556,0.355871886,1.067615658,1
55,19,0.91,3,3,72,6,6,55,1,5,101645,3.1,4.3,1,8.6,4,0,-2.06,2.27,0.07,2,20000,2,2,57.5,16941,0,1,3.62,0,0,0.983606557,0.590801775,0.327868852,0.983606557,0
56,50,4.07,3,3,88,6,6,55,1,5,77256,4.3,7.1,1.5,9.8,6,0,2.97,3.98,0.16,2,30000,2,2,54.8,12876,0,2,3.62,0,0,2.777777778,0.571278582,0.308641975,0.308641975,0
57,49,3.78,3,3,88,6,6,65,0,5,63648,4.3,7.1,1.5,9.8,5,0,-2.95,2.95,0.66,2,3820,2,2,53.5,10608,0,1,4.92,1.12,0,1.01010101,0.524618771,0,1.01010101,0
58,18,1.36,3,3,88,6,6,65,0,5,58548,4.3,7.1,1.5,9.8,1,0,2.9,2.2,0.05,1,3200,2,2,54.3,9758,0,1,4.92,1.12,0,2.068965517,0.412846755,0.689655172,2.068965517,0
59,14,1.08,3,3,72,6,6,65,0,5,54521,4.3,7.1,1.5,9.8,1,-2,2.9,4.9,0.56,1,6000,2,5,48,9087,1,1,4.92,1.12,0,0.81300813,0.283076444,0.81300813,1.62601626,0
60,6,0.86,3,3,99,6,6,65,0,5,54521,4.3,7.1,1.5,9.8,2,0.5,3.62,5.62,0.51,1,6000,2,5,45,9087,0,1,4.92,1.12,0,1.57480315,0.296199179,0.787401575,1.57480315,0
61,6,0.94,3,3,72,6,6,65,0,5,52011,4.3,7.1,1.5,9.8,1,1.43,2.2,0.51,0.44,2,5000,2,5,53,8669,0,1,4.92,1.12,0,1.265822785,0.180933858,0.632911392,0.632911392,1
62,18,2.36,3,3,72,6,6,65,0,5,52011,4.3,7.1,1.5,9.8,5,0.54,2.05,3.05,0.53,2,5730,2,5,49.8,8669,1,2,4.92,1.12,0,3.703703704,0.293901723,0,3.703703704,1
63,11,1.69,3,3,72,6,6,65,0,5,42803,5.04,7.59,1.81,9.8,4,-0.5,-1.73,2.56,0.56,2,16000,2,5,51.5,7134,0,1,4.92,1.12,0,0,0.099489729,1.960784314,3.921568627,0
64,34,4.27,3,3,72,6,6,65,0,5,41221,5.04,7.59,1.81,9.8,7,0,-3.95,2.93,1.54,4,3885,2,5,54.8,6870,0,2,3.93,0,0,1.860465116,0.266202895,0.465116279,1.395348837,1
65,2,2.88,3,3,72,4,6,65,0,5,41964,5.04,7.59,1.81,9.8,1,0,0.47,0.48,0.64,2,4500,2,4,55.8,6994,0,2,3.93,0,0,1.818181818,0.41703805,0.363636364,1.090909091,0
66,18,1.53,3,2,60,4,6,65,0,5,43180,5.04,7.59,1.81,9.8,0,0.12,0.2,0.08,2.49,3,2865,2,2,59.3,8636,0,1,3.93,0,0,1.865671642,0.205607858,0.373134328,0.746268657,1
67,6,0.66,2,2,48,4,4,65,1,5,46975,5.04,7.59,1.81,9.8,0,0.2,-0.21,0.41,1.41,0,0,2,2,47.5,11744,1,1,3.93,0,0,1.435406699,0.160694353,0.4784689,0.956937799,1
68,24,2.54,2,2,48,4,4,65,0,5,31949,5.4,8.1,1.8,9.7,4,0.02,2.99,2.45,1.2,4,2547,2,2,49.7,7987,0,2,3.93,0,0,1.062215478,0.418603061,0.151745068,1.365705615,1
69,6,0.69,2,2,48,4,4,65,0,5,28056,4.8,7.1,1.7,9.7,1,1.4,1.91,0.51,1.54,1,7640,2,2,49.7,7014,0,0,3.93,0,0,1.724137931,0.12435258,1.724137931,0.862068966,1
70,29,3.02,2,2,48,4,4,65,0,5,28056,4.8,7.1,1.7,9.7,5,0.5,3,3.9,0.41,4,2865,2,5,50.3,7014,0,1,3.93,0,0,1.831501832,0.213569129,0.366300366,1.465201465,1
71,17,0.53,2,2,48,4,4,65,0,5,32896,4.8,7.1,1.7,9.7,0,3,3,0,0.59,1,1763,2,2,52,8224,0,1,3.8,1.2,1,1.346153846,0.31178446,0.192307692,0.961538462,0
72,46,2.09,2,2,48,4,4,55,1,5,26699,4.8,7.1,1.7,9.7,7,-0.1,-4,4.53,0.63,5,1910,2,2,46.5,6675,0,3,3.8,1.2,0,4.395604396,0.337613868,1.098901099,2.197802198,0
73,29,0.79,2,2,55,4,4,55,1,5,56998,3,5.3,1.2,9.7,4,-0.5,-2,2.6,0.48,1,2865,2,2,42,14250,0,1,3.8,1.2,0,6.504065041,0.195993612,1.62601626,1.62601626,1
74,27,0.74,2,2,48,4,4,55,1,5,56998,3,5.3,1.2,9.7,3,1,-2,3.03,0.44,2,1910,2,2,42,14250,1,2,3.8,1.2,0,1.538461538,0.084131223,1.538461538,3.076923077,1
75,19,1.23,2,2,48,4,4,55,1,5,43656,3,5.3,1.2,9.7,8,0.5,-2.32,3.92,0.01,2,1910,2,2,43.5,10914,1,2,3.8,1.2,0,1.843317972,0.25629946,0.921658986,1.382488479,1
76,30,4.16,2,2,48,4,4,55,1,5,46018,3,5.3,1.2,9.7,20,0.01,-3.8,5.54,0.02,3,4584,2,5,45.1,11505,0,1,3.8,1.2,0,2.597402597,0.099199408,1.298701299,2.597402597,1
77,19,0.65,2,2,48,4,4,65,1,5,35461,3,5.3,1.2,9.7,1,0,-0.51,0.51,0.04,2,5730,2,2,40.5,8865,0,1,3.8,1.2,0,1.282051282,0.128069448,0.641025641,0.641025641,1
78,19,2.17,2,2,48,4,4,65,1,5,32359,3,5.3,1.2,9.7,4,0.16,-1.53,1.25,0.62,3,2292,2,2,50.5,8090,0,2,3.8,1.2,1,1.475237092,0.297267607,0.105374078,0.105374078,0
79,58,8.2,2,2,48,4,4,65,0,5,32330,3,5.3,1.2,9.7,14,0,-1.2,1.2,0.17,7,7640,2,5,50,8083,0,3,3.8,1.2,0,0.829875519,0.407814537,0.414937759,0,0
80,14,2.27,2,2,48,4,4,65,0,5,19493,3.96,7.14,1.49,10.3,7,-0.55,1.8,3.08,0.13,5,2865,2,2,47.8,4873,0,2,4.14,2.59,0,0.735294118,0.290632272,0.735294118,0.735294118,1
82,17,3,2,2,48,4,4,55,1,1,14472,5.3,3.59,1.02,9.51,6,0.29,2.6,4.53,1.08,4,1433,1,2,51.8,3618,0,0,6.74,0.04,0,2.118644068,0.448022754,0.847457627,0.847457627,1
83,15,5.67,2,2,48,4,4,55,1,1,14472,5.3,3.59,1.02,9.51,12,0,3.02,3.02,0.75,5,1433,1,2,51.3,3618,1,0,6.74,0.04,0,0,0.24113871,0.653594771,1.960784314,0
84,2,0.72,2,2,48,4,4,55,1,1,11626,5.1,3.6,1.1,9.4,2,0.34,1.01,0.67,0.91,2,5730,1,5,48.5,2907,0,0,6.33,0,0,1.495726496,0.223569216,0.213675214,1.923076923,0
85,4,0.53,2,2,48,4,4,55,1,1,11626,5.1,3.6,1.1,9.4,0,0.59,0.84,0.25,0.02,2,5730,1,3,52.5,2907,0,0,6.33,0,0,1.567398119,0.351773422,0.313479624,2.821316614,0
86,11,2.47,2,2,48,4,4,55,1,1,12602,5.1,3.6,1.1,9.3,6,-0.38,3.08,3.85,0.25,4,1433,1,5,49,3151,0,0,6.33,0,0,1.038062284,0.963246826,0.346020761,0.519031142,1
87,16,3.12,2,2,48,4,4,55,1,1,13263,5.1,3.6,1.1,8.3,11,0.29,3.28,3.92,0.86,7,1910,1,2,50.7,3316,0,0,6.33,0,0,0,0.063637312,1.886792453,1.886792453,1
88,7,1.6,2,2,48,4,4,55,1,1,14519,5.1,3.6,1.1,8,4,0.43,-3.96,2.68,1.02,4,1433,1,2,51,3630,0,0,6.33,0,0,2,0.1584684,0,1.333333333,0
89,6,1.12,2,2,48,4,4,55,1,1,13812,5.1,3.6,1.1,8.5,2,-0.4,-3.96,1.68,0.52,3,1910,1,5,53,3453,0,0,6.33,0,1,0.708215297,0.274233698,0.141643059,0.141643059,1
90,5,0.9,2,2,48,4,4,55,1,1,13812,5.1,3.6,1.1,8.5,1,-0.43,-3.96,3.29,0.34,1,1910,1,2,52,3453,0,0,5.28,2.63,0,2.896995708,0.16345649,0,1.502145923,1
