ID,FREQ,ROUTE,LENGTH,INCLANES,DECLANES,WIDTH,MIMEDSH,MXMEDSH,SPEED,URB,FC,AADT,SINGLE,DOUBLE,TRAIN,PEAKHR,GRADEBR,MIGRADE,MXGRADE,MXGRDIFF,TANGENT,CURVES,MINRAD,ACCESS,MEDWIDTH,FRICTION,ADTLANE,SLOPE,INTECHAG,AVEPRE,AVESNOW,LANEADT,LNLANADT,LNAADT,DENSITY,LOWFRI,MEDFRI,HIFRI,CURVMILE,LOWCVMIL,MEDCVMIL,HICVMIL,TRUCK,NOTRUCK,MED030,MED3040,MED4050,MED5060,MED60,SPEED1,SPEED2,SPEED3,SPEED4,LOCAL,INTSTATE,NONE,PARTIAL,FULL,FLAT,SLIGHT,MEDIUM,SLPFLAT,SLPMED,LOWPRE,MEDPRE,HIPRE,NORSNOW,HISNOW,LANEWID,NLANWID,WLANWID,EXPOSE,CPM,INTPM,GBRPM,const
1,1,2,0.64,2,2,48,4,4,55,0,1,3347,10,5.3,1.1,10.1,2,-1.8,-2.9,0.7,0.39,2,1400,1,4,53.5,837,2,0,9.94,54.33,836.75,6.7295253,8.1158197,1307.421875,0,0,1,3.125,0,0,1,16.4,54890.8,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0.0833333,1,0,0.0078186,3.125,0,3.125,1
2,4,2,1.44,2,2,46,0,4,55,0,1,3347,10,5.3,1.1,10.1,2,-1.46,-2.5,0.74,0.22,4,1433,1,5,54,837,2,0,9.94,54.33,836.75,6.7295253,8.1158197,581.0763889,0,0,1,2.7777778,0,0,1,16.4,54890.8,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0.0869565,1,0,0.0175918,2.7777778,0,1.3888889,1
3,2,2,1.07,2,2,48,0,0,55,0,1,12598,5,6,1,8.73,2,-1.85,3.15,6.16,0.54,1,5730,1,1,52.5,3150,0,0,2.39,6.35,3149.5,8.054999,9.4412934,2943.457944,0,0,1,0.9345794,0,1,0,12,151176,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.0492015,0.9345794,0,1.8691589,1
4,1,2,1.1,2,2,48,0,0,55,0,1,12598,5,6,1,8.73,2,0.05,-3.14,3.19,1.34,2,5730,1,1,52.3,3150,0,0,2.39,6.35,3149.5,8.054999,9.4412934,2863.181818,0,0,1,1.8181818,0,1,0,12,151176,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.050581,1.8181818,0,1.8181818,1
5,0,2,0.71,2,2,48,0,0,55,0,1,13946,5,6,1,8.87,0,-0.26,-0.5,0.17,0.16,2,1637,1,1,52.3,3487,0,0,0.92,1.25,3486.5,8.1566536,9.542948,4910.56338,0,0,1,2.8169014,0,0,1,12,167352,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0.0833333,1,0,0.0361411,2.8169014,0,0,1
6,36,2,5.69,2,2,48,4,4,55,0,1,13629,3.6,2.3,0.6,9,7,-0.2,-3.45,4.61,1.93,6,3200,1,4,46.2,3407,0,0,1.63,4.16,3407.25,8.1336608,9.5199552,598.8137083,0,1,0,1.0544815,0,1,0,6.5,88588.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.2830539,1.0544815,0,1.2302285,1
7,4,2,1.3,2,2,62,4,4,55,0,1,11699,3.6,2.3,0.6,9.48,4,0.38,4.05,3.67,0.22,2,7640,1,4,46,2925,0,0,2.43,6.78,2924.75,7.9809643,9.3672586,2249.807692,0,1,0,1.5384615,0,1,0,6.5,76043.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0645161,1,0,0.0555118,1.5384615,0,3.0769231,1
8,2,2,1.37,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,3,0.5,-1.8,3.57,0.5,4,2200,1,5,54.5,2029,0,0,2.43,6.78,2029,7.6152983,9.0015927,1481.021898,0,0,1,2.919708,0,0,1,7.9,64116.4,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.0405841,2.919708,0,2.189781,1
9,12,2,2.41,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,5,0.5,4.78,5.93,0.09,8,1800,1,2,55.8,2029,0,0,2.43,6.78,2029,7.6152983,9.0015927,841.9087137,0,0,1,3.3195021,0,0,1,7.9,64116.4,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.0713924,3.3195021,0,2.0746888,1
10,2,2,1.63,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,3,-0.52,-2.74,2.22,0.16,4,1800,1,2,56,2029,0,0,2.43,6.78,2029,7.6152983,9.0015927,1244.785276,0,0,1,2.4539877,0,1,0,7.9,64116.4,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.0482861,2.4539877,0,1.8404908,1
11,14,3,2.22,2,2,48,4,4,55,0,1,37106,4.1,3.7,1.1,9.6,3,-0.52,-1.82,2.98,0.77,3,1920,2,3,53.8,9277,2,2,5.22,1.09,9276.5,9.1352396,10.521534,4178.603604,0,0,1,1.3513514,0,1,0,8.9,330243.4,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0.0833333,1,0,0.3006699,1.3513514,0.9009009,1.3513514,1
12,1,3,0.87,2,2,48,4,4,55,0,1,39453,4.1,3.7,1.1,8.82,3,1,-2.72,4.24,0.5,2,2000,2,5,53,9863,2,1,5.22,1.09,9863.25,9.196571,10.5828654,11337.06897,0,0,1,2.2988506,0,1,0,8.9,351131.7,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0.0833333,1,0,0.125283,2.2988506,1.1494253,3.4482759,1
13,20,3,1.16,2,2,48,4,4,55,0,1,29370,4.1,3.7,1.1,10.5,2,0.22,-4.51,5.3,0.07,1,1800,2,2,51.5,7343,0,2,5.22,1.09,7342.5,8.9014347,10.287729,6329.741379,0,0,1,0.862069,0,1,0,8.9,261393,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0.0833333,1,0,0.1243526,0.862069,1.7241379,1.7241379,1
14,14,3,2.11,3,3,72,4,4,55,0,1,31194,4.1,3.7,1.1,9.8,5,0.22,2.92,2.29,0.32,3,4000,2,3,51.3,5199,1,2,5.22,1.09,5199,8.5562216,10.347981,2463.981043,0,0,1,1.4218009,0,1,0,8.9,277626.6,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0.0833333,1,0,0.2402406,1.4218009,0.9478673,2.3696682,1
15,26,5,1.7,2,2,48,6,6,55,1,5,34738,3.39,7.33,2.42,10.8,3,0.37,3.54,3.04,0.17,0,0,2,3,47.8,8685,0,2,3.18,0.67,8684.5,9.0692951,10.4555895,5108.529412,0,1,0,0,1,0,0,13.14,456457.32,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.2155493,0,1.1764706,1.7647059,1
16,11,5,1.52,3,3,72,6,6,65,1,5,51784,3.39,7.33,2.42,10.8,3,1,-2.43,4.07,2.14,0,0,2,3,45.5,8631,0,1,3.18,0.67,8630.666667,9.063077,10.8548365,5678.070175,0,1,0,0,1,0,0,13.14,680441.76,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.2872976,0,0.6578947,1.9736842,1
17,25,5,3.24,3,3,72,6,6,65,0,5,48307,4.7,12.1,4.2,10.8,9,0.16,1.7,3,4.91,1,11460,2,5,47.2,8051,0,1,3.18,0.67,8051.166667,8.9935723,10.7853318,2484.927984,0,1,0,0.308642,1,0,0,21,1014447,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.5712786,0.308642,0.308642,2.7777778,1
18,10,5,0.85,3,3,72,6,6,65,0,5,46886,4.7,12.1,4.2,10.8,1,0.51,-2.82,3.33,3.33,0,0,2,5,45,7814,1,1,3.18,0.67,7814.333333,8.9637149,10.7554744,9193.333333,0,1,0,0,1,0,0,21,984606,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0.0833333,1,0,0.1454638,0,1.1764706,1.1764706,1
19,12,5,1.17,3,3,72,6,6,65,0,5,46307,4.7,12.1,4.2,10.8,3,0.35,-1.73,2.37,0.18,2,2083,2,3,45,7718,0,0,6.14,0,7717.833333,8.9512889,10.7430484,6596.438746,0,1,0,1.7094017,0,1,0,21,972447,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.197754,1.7094017,0,2.5641026,1
20,2,5,0.7,3,3,84,6,6,65,0,5,46307,4.7,12.1,4.2,10.8,2,-0.01,-1.04,1.03,0.4,0,0,2,3,45,7718,0,0,6.14,0,7717.833333,8.9512889,10.7430484,11025.47619,0,1,0,0,1,0,0,21,972447,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0714286,1,0,0.1183144,0,0,2.8571429,1
21,11,5,1.3,3,3,72,6,6,65,0,5,43706,6.8,12.8,4.1,10.8,2,0.5,-1.92,2.42,0.34,1,5730,2,5,48.5,7284,1,1,6.14,0,7284.333333,8.8934812,10.6852407,5603.333333,0,1,0,0.7692308,0,1,0,23.7,1035832.2,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0.0833333,1,0,0.207385,0.7692308,0.7692308,1.5384615,1
22,6,5,0.53,3,3,72,6,6,65,0,5,43706,6.8,12.8,4.1,10.8,2,0.35,-0.96,1.31,1.39,1,22918,2,5,49.5,7284,2,1,6.14,0,7284.333333,8.8934812,10.6852407,13744.02516,0,1,0,1.8867925,0,1,0,23.7,1035832.2,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0.0833333,1,0,0.0845493,1.8867925,1.8867925,3.7735849,1
23,1,5,0.52,3,3,72,6,6,65,0,5,45088,6.8,12.8,4.1,10.8,3,0.31,-1.58,1.15,1.16,1,3820,2,5,49.5,7515,0,1,6.14,0,7514.666667,8.9246119,10.7163714,14451.28205,0,1,0,1.9230769,0,1,0,23.7,1068585.6,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.085577,1.9230769,1.9230769,5.7692308,1
24,6,5,1.05,3,3,72,6,6,65,0,5,45088,6.8,12.8,4.1,10.8,1,0,-3,3,0.12,2,2865,2,3,49.5,7515,0,0,6.14,0,7514.666667,8.9246119,10.7163714,7156.825397,0,1,0,1.9047619,0,1,0,23.7,1068585.6,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.1727998,1.9047619,0,0.952381,1
25,2,5,0.91,3,3,72,6,6,65,0,5,45088,6.8,12.8,4.1,10.8,1,0,-0.54,0.54,0.28,2,5730,2,5,51.5,7515,1,0,6.14,0,7514.666667,8.9246119,10.7163714,8257.875458,0,0,1,2.1978022,0,1,0,23.7,1068585.6,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0.0833333,1,0,0.1497598,2.1978022,0,1.0989011,1
26,16,5,1.17,3,3,88,6,6,65,0,5,48673,6.8,12.8,4.1,10.8,1,0,-0.54,0.54,0.15,0,0,2,4,50.5,8112,0,1,6.14,0,8112.166667,9.0011203,10.7928797,6933.475784,0,0,1,0,1,0,0,23.7,1153550.1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0681818,1,0,0.207858,0,0.8547009,0.8547009,1
27,0,5,2.72,3,3,72,6,6,65,0,5,40503,4.2,14.6,3.4,10.8,6,0,-1.04,1.97,1.38,5,4000,2,2,48.5,6751,0,0,4.66,0.88,6750.5,8.8173719,10.6091313,2481.801471,0,1,0,1.8382353,0,1,0,22.2,899166.6,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.4021138,1.8382353,0,2.2058824,1
28,0,5,0.61,3,3,72,6,6,65,1,5,40503,4.2,14.6,3.4,10.8,1,0,0.5,0.83,0.11,2,11459,2,2,48.5,6751,0,1,4.66,0.88,6750.5,8.8173719,10.6091313,11066.39344,0,1,0,3.2786885,0,0,1,22.2,899166.6,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.0901799,3.2786885,1.6393443,1.6393443,1
29,4,5,0.91,3,3,72,5,5,65,1,5,40503,4.2,14.6,3.4,10.8,2,0.3,-1.09,1.59,0.28,2,2000,2,3,48.5,6751,0,1,4.66,0.88,6750.5,8.8173719,10.6091313,7418.131868,0,1,0,2.1978022,0,1,0,22.2,899166.6,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.1345307,2.1978022,1.0989011,2.1978022,1
30,5,5,0.57,3,3,88,6,6,65,1,5,33651,8,17,7,12.3,2,0.01,0.89,1.76,0.07,1,2076,2,3,50.5,5609,0,0,4.66,0.88,5608.5,8.6320386,10.4237981,9839.473684,0,0,1,1.754386,0,1,0,32,1076832,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0681818,1,0,0.0700109,1.754386,0,3.5087719,1
31,14,5,1.66,4,3,84,5,6,65,1,5,38934,7,15.6,5.5,12.3,5,-0.88,3.5,6.4,0.44,3,2700,2,5,53,5562,2,1,4.66,0.88,5562,8.623713,10.5696232,3350.60241,0,0,1,1.8072289,0,1,0,28.1,1094045.4,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0.0833333,1,0,0.2359011,1.8072289,0.6024096,3.0120482,1
32,22,5,2.75,3,3,88,6,10,65,1,5,41548,5,13.7,4.7,12.3,5,0.6,-2.9,3.5,0.15,3,5600,2,5,46.8,6925,0,1,4.66,0.88,6924.666667,8.8428452,10.6346047,2518.060606,0,1,0,1.0909091,0,1,0,23.4,972223.2,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0681818,1,0,0.417038,1.0909091,0.3636364,1.8181818,1
33,12,5,2.31,3,3,72,6,10,65,0,5,37617,5,13.7,4.7,12.3,5,0.52,-4.5,7.4,0.5,3,3400,2,5,45,6270,2,2,4.66,0.88,6269.5,8.7434519,10.5352114,2714.069264,0,1,0,1.2987013,0,1,0,23.4,880237.8,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0.0833333,1,0,0.3171677,1.2987013,0.8658009,2.1645022,1
34,14,5,3.06,3,3,88,6,10,65,0,5,45929,4.2,11.7,3.4,12.3,6,-0.5,-3.16,6.08,0.29,4,10000,2,5,45.4,7655,0,2,4.66,0.88,7654.833333,8.9430925,10.734852,2501.579521,0,1,0,1.3071895,0,1,0,19.3,886429.7,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0681818,1,0,0.512981,1.3071895,0.6535948,1.9607843,1
35,16,5,2.3,2,2,48,3,4,65,1,5,46361,5.55,11.82,4.07,10.9,0,0,0.53,0.23,0.19,0,0,2,2,44.3,11590,0,0,5.1,0,11590.25,9.3579195,10.7442139,5039.23913,0,1,0,0,1,0,0,21.44,993979.84,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.3892006,0,0,0,1
36,18,5,2.41,2,2,48,4,4,65,1,5,46361,5.55,11.82,4.07,10.9,2,-0.12,0.42,0.92,0.13,0,0,2,2,49,11590,0,1,5.1,0,11590.25,9.3579195,10.7442139,4809.232365,0,1,0,0,1,0,0,21.44,993979.84,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.4078145,0,0.4149378,0.8298755,1
37,48,5,4.82,2,2,48,4,4,65,1,5,42250,4.95,12.83,4.26,10.9,10,-0.03,-3,5.79,2.75,1,5730,2,2,50.5,10563,0,0,5.1,0,10562.5,9.2650653,10.6513596,2191.390042,0,0,1,0.2074689,1,0,0,22.04,931190,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.7433043,0.2074689,0,2.0746888,1
38,17,5,5.78,2,2,48,0,4,65,1,5,45658,4.19,11.66,3.82,10.9,6,0,-3,5.79,2.62,3,5730,2,2,48.6,11415,0,2,5.28,2.63,11414.5,9.3426398,10.7289341,1974.82699,0,1,0,0.5190311,0,1,0,19.67,898092.86,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0.0833333,1,0,0.9632468,0.5190311,0.3460208,1.0380623,1
39,26,5,2.81,3,3,72,6,6,55,0,5,81624,3.58,7.84,2,9.7,6,0.23,3,2.44,0.96,3,2300,2,5,42.8,13604,1,1,5.28,2.63,13604,9.5181191,11.3098786,4841.281139,0,1,0,1.0676157,0,1,0,13.42,1095394.08,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0.0833333,1,0,0.8371766,1.0676157,0.3558719,2.1352313,1
40,10,5,1.33,3,3,72,6,6,55,0,5,73368,3.4,6.85,1.65,9.7,2,0.23,-3,4.7,0.42,2,4500,2,2,41.5,12228,0,1,5.28,2.63,12228,9.4114837,11.2032432,9193.984962,0,1,0,1.5037594,0,1,0,11.9,873079.2,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0.0833333,1,0,0.356165,1.5037594,0.7518797,1.5037594,1
41,9,5,0.67,3,3,72,6,6,55,1,5,82113,3.35,6.87,1.65,9.7,0,2.77,3.01,0.24,0.43,2,2900,2,5,43.5,13686,0,1,5.28,2.63,13685.5,9.5240922,11.3158516,20426.1194,0,1,0,2.9850746,0,0,1,11.87,974681.31,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0.0833333,1,0,0.2008073,2.9850746,1.4925373,0,1
42,140,5,3.16,4,4,96,10,10,55,0,5,163157,3.3,4.6,0.7,8.6,6,0,-3.29,2.34,0.1,4,2084,2,3,53,20395,0,2,3.91,0,20394.625,9.9230267,12.0024682,6453.995253,0,0,1,1.2658228,0,1,0,8.6,1403150.2,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,1.8818528,1.2658228,0.6329114,1.8987342,1
43,11,5,0.6,4,4,96,10,10,55,1,5,144040,3.3,4.6,0.7,8.6,0,3.02,3.02,0,0,2,7640,2,5,42.5,18005,1,0,4.03,0,18005,9.7984048,11.8778463,30008.33333,0,1,0,3.3333333,0,0,1,8.6,1238744,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0.0833333,1,0,0.3154476,3.3333333,0,0,1
44,80,5,1.79,4,4,96,10,10,55,1,5,144040,3.3,4.6,0.7,8.6,3,-0.6,3.02,3.2,0.59,2,7640,2,5,44.8,18005,2,0,4.03,0,18005,9.7984048,11.8778463,10058.65922,0,1,0,1.1173184,0,1,0,8.6,1238744,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0.0833333,1,0,0.9410853,1.1173184,0,1.6759777,1
45,48,5,0.75,4,4,96,10,10,55,1,5,144040,3.3,4.6,0.7,8.6,1,-0.6,1.4,2,0.77,0,0,2,5,44.8,18005,2,0,4.03,0,18005,9.7984048,11.8778463,24006.66667,0,1,0,0,1,0,0,8.6,1238744,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0.0833333,1,0,0.3943095,0,0,1.3333333,1
46,65,5,1.01,4,4,96,10,10,55,1,5,130892,3.7,3.8,1.2,8.5,2,1.07,-1.8,2.87,1.45,1,11460,2,5,42.5,16362,1,1,4.03,0,16361.5,9.7026863,11.7821278,16199.50495,0,1,0,0.990099,0,1,0,8.7,1138760.4,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0.0833333,1,0,0.4825334,0.990099,0.990099,1.980198,1
47,25,5,0.99,4,4,96,10,10,55,1,5,145183,2.8,3.8,0.7,8.5,1,-1.5,1.8,3.3,0.24,1,5730,2,5,41,18148,0,0,4.32,0.06,18147.875,9.8063088,11.8857503,18331.18687,0,1,0,1.010101,0,1,0,7.3,1059835.9,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.5246188,1.010101,0,1.010101,1
48,47,5,0.8,4,4,121,3,10,55,1,5,145183,2.8,3.8,0.7,8.5,1,1.09,-3,4.09,0.68,1,5730,2,5,41,18148,2,1,4.32,0.06,18147.875,9.8063088,11.8857503,22684.84375,0,1,0,1.25,0,1,0,7.3,1059835.9,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0.0661157,1,0,0.4239344,1.25,1.25,1.25,1
49,69,5,1.5,4,4,96,3,10,55,1,5,159553,2.8,3.8,0.7,8.5,2,0.48,3,5.7,1.09,1,11460,2,5,41.5,19944,2,1,4.32,0.06,19944.125,9.9006899,11.9801314,13296.08333,0,1,0,0.6666667,0,1,0,7.3,1164736.9,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0.0833333,1,0,0.8735527,0.6666667,0.6666667,1.3333333,1
50,97,5,1.5,4,4,96,3,10,55,1,5,172557,2.4,3.3,0.6,8.5,1,-0.44,-3.99,3.51,0.28,2,5730,2,5,40.5,21570,3,2,3.73,1.13,21569.625,9.9790414,12.0584829,14379.75,0,1,0,1.3333333,0,1,0,6.3,1087109.1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0833333,1,0,0.9447496,1.3333333,1.3333333,0.6666667,1
51,29,5,0.53,3,3,72,0,10,55,1,5,172130,2.5,1.9,0.3,7.9,0,-0.96,-1.17,0.21,0.41,1,11459,2,1,42,28688,0,1,3.21,0.55,28688.33333,10.2642458,12.0560053,54128.93082,0,1,0,1.8867925,0,1,0,4.7,809011,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0833333,1,0,0.3329855,1.8867925,1.8867925,0,1
52,81,5,1.15,3,3,72,7,15,55,1,5,150632,2.1,2.4,0.4,7.9,2,-0.55,-2.76,2.35,0.51,2,2865,2,5,50.5,25105,3,1,3.37,1.12,25105.33333,10.1308356,11.9225951,21830.72464,0,0,1,1.7391304,0,1,0,4.9,738096.8,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0833333,1,0,0.6322778,1.7391304,0.8695652,1.7391304,1
53,133,5,1.88,3,3,72,7,10,55,1,5,151737,2.1,2.4,0.4,7.9,1,-0.5,2.2,2.95,1.59,1,2865,2,5,50.5,25290,2,2,3.37,1.12,25289.5,10.1381446,11.929904,13451.8617,0,0,1,0.5319149,0,1,0,4.9,743511.3,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0.0833333,1,0,1.0412193,0.5319149,1.0638298,0.5319149,1
